"module name","license","repository"
"@types/pg@7.14.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/pino-std-serializers@2.4.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/pino@6.3.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prettier@2.1.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prop-types@15.7.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/randomstring@1.1.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-datepicker@3.1.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-dom@16.9.10","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-select@3.0.28","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-transition-group@4.4.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-virtualized-auto-sizer@1.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-window@1.8.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@16.14.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/semver@7.3.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/shelljs@0.8.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/sonic-boom@0.7.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/stack-utils@2.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/string-pixel-width@1.7.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/testing-library__jest-dom@5.9.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/tinycolor2@1.4.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/tsc-watch@4.2.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/ungap__global-this@0.3.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/validator@13.1.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/warning@3.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/websocket@1.0.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/yargs-parser@20.2.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/yargs@15.0.12","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/zen-observable@0.8.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@vx/axis@0.0.199","MIT","https://github.com/hshoff/vx"
"@vx/scale@0.0.199","MIT","https://github.com/hshoff/vx"
"altair-fastify-plugin@3.0.0","MIT","https://github.com/imolorhe/altair"
"ast-types@0.13.2","MIT","https://github.com/benjamn/ast-types"
"axios@0.21.1","MIT","https://github.com/axios/axios"
"babel-plugin-date-fns@2.0.0","MIT","https://github.com/date-fns/babel-plugin-date-fns"
"babel-plugin-graphql-tag@3.1.0","BSD*","https://github.com/gajus/babel-plugin-graphql-tag"
"babel-plugin-import@1.13.3","MIT","https://github.com/ant-design/babel-plugin-import"
"babel-plugin-lodash@3.3.4","MIT","https://github.com/lodash/babel-plugin-lodash"
"babel-plugin-parameter-decorator@1.0.16","MIT","https://github.com/WarnerHooh/babel-plugin-parameter-decorator"
"babel-plugin-transform-react-remove-prop-types@0.4.24","MIT","https://github.com/oliviertassinari/babel-plugin-transform-react-remove-prop-types"
"babel-plugin-transform-typescript-metadata@0.3.1","MIT","https://github.com/leonardfactory/babel-plugin-transform-typescript-metadata"
"class-validator@0.12.2","MIT","https://github.com/typestack/class-validator"
"classnames@2.2.6","MIT","https://github.com/JedWatson/classnames"
"connect@3.7.0","MIT","https://github.com/senchalabs/connect"
"cross-env@7.0.3","MIT","https://github.com/kentcdodds/cross-env"
"cross-port-killer@1.2.1","MIT","https://github.com/milewski/cross-port-killer"
"crypto-js@4.0.0","MIT","https://github.com/brix/crypto-js"
